0 575.1079406738281 0.0 506.6983659857257, 1 445.80970157181105 -41.98599948930708 504.20916013590045, 2 480.07451366278315 -53.89461564767464 128.62739133586717, 3 430.7493660570309 68.83634703365769 -254.29612769039443, 6 704.4052304226154 41.98546407478711 509.18753786535103, 7 715.9943882113699 60.436800878680444 143.01080531447076, 8 746.5974988305569 144.12785445664937 -248.4291757575338, 12 538.8813138381322 -69.97486722690245 756.5136438908756, 13 518.4665069279445 -232.82170173715036 889.5198736098595, 14 437.97730141609384 -335.8039946894887 807.3428210193393, 15 430.06858240582017 -380.99259054928007 905.4885482312685, 17 663.3283082244359 -207.62169148786717 882.4577010861184, 18 829.3152940008013 -179.82639049968486 668.449317407666, 19 908.5334623066796 -261.457563123529 308.377867315172, 25 391.7454118671707 -206.80968413404503 846.471977547851, 26 270.1534879440386 -172.41545916995696 582.3764912898064, 27 223.46161144666615 -223.27999105968064 221.56597694012453, 
0 576.1802062988281 0.0 500.5985767262739, 1 447.9848084205114 -41.85548407790894 497.5571945778919, 2 478.46317784541293 -55.226670264182914 125.9942928026017, 3 426.12512592870246 69.62523856499593 -254.29612769039443, 6 704.3747139179331 41.85494509812371 503.63992123217497, 7 711.0635370673886 60.94090691023539 141.79277800499648, 8 735.8247514643032 145.7567288869882 -248.89375409923707, 12 537.591917235327 -67.1152330141014 751.6810016506329, 13 516.6558696976131 -227.71023796453466 888.0891612578577, 14 437.53437065934173 -330.1491131214823 808.0941661590333, 15 430.91061956623014 -373.576380137358 907.2657666762922, 17 660.623103339345 -202.65241417540565 879.8099348260738, 18 826.7489297454682 -176.92032144268228 663.5800518048545, 19 905.2749120259634 -259.19175711948424 307.0120565313887, 25 391.10573957877955 -202.53659115420749 844.5663545946151, 26 275.0673279917228 -170.3192791046166 577.993868213282, 27 227.17985744504614 -222.76000273565194 217.94171288764824, 
0 576.8588256835938 0.0 494.4843821044336, 1 449.9970296522145 -41.93001927065822 490.72310332113875, 2 477.4978543604471 -55.42656122079971 124.23723860711914, 3 425.1209926049773 72.43861673584324 -253.251115692913, 6 703.7197390712602 41.92946258395625 498.2456153241153, 7 708.9783663997777 57.897731953167884 141.318110069794, 8 734.1844258227773 141.6843298643521 -250.47953437285037, 12 536.274183536023 -65.59705562551697 746.2553454507973, 13 513.5062608825826 -225.18074039942925 883.758960043409, 14 434.78446330898566 -326.9105067199014 806.1142494814059, 15 427.34304512900343 -369.1175836907153 905.4844621236765, 17 656.2313921042062 -199.81089890537265 876.9535458265362, 18 819.6961717352574 -174.84592556673232 661.7330983857679, 19 901.2090984194617 -255.93601647714843 304.0088118503321, 25 389.7400014245997 -200.92259647577896 837.1267897329031, 26 278.2532323441384 -172.5529576774049 568.3861747642151, 27 236.48580106267752 -228.49459898688764 210.3963231025067, 
0 576.7238464355469 0.0 494.8432611937891, 1 449.31777052887134 -41.28435713767468 491.21234778786027, 2 474.163300431651 -57.164682846929836 130.15298540018068, 3 423.13748329849005 71.50172411853298 -249.3571066732968, 6 704.1290629885493 41.283786903809926 498.47412440785376, 7 703.871005260324 50.45789522488599 144.88962598569873, 8 728.8318792805458 130.67222182193927 -251.36398804704675, 12 532.0684986653538 -64.8311121020265 746.4956438376448, 13 506.31162506153424 -225.11238661411576 882.2404287942442, 14 427.27184123676636 -327.44854719675067 804.2872190112281, 15 419.2561883660315 -369.0628490527596 903.0599642889459, 17 649.6336223831572 -200.13774472470158 876.10579712994, 18 811.6673358312812 -174.99325177049764 661.2620590153913, 19 895.9118979208845 -257.9780384675443 303.21998522777983, 25 383.1452864045885 -200.69417745426188 833.8688867681316, 26 278.29451303806906 -175.12925076665974 563.7478113388967, 27 244.54624898176843 -234.88356154174693 206.57473816645927, 
0 576.1028442382812 0.0 496.08064830161516, 1 449.3539536791419 -41.73209954692043 493.10506468564756, 2 475.0615244163188 -59.11185549094752 128.39134491480422, 3 424.3842743025284 61.772578353132374 -254.40882147701552, 6 702.8508264003156 41.73155264157992 499.0561906298958, 7 706.0062585867873 57.03680783223818 143.84914051445514, 8 730.7044849656874 139.13411985660773 -249.54262443044001, 12 532.8523252190157 -65.49852067269246 746.371625081007, 13 508.90833163603986 -225.03614407922618 883.1373185264118, 14 430.25863944646346 -326.744140490448 804.9115737751398, 15 422.8468125681708 -368.8407760907458 904.0862009237914, 17 651.1912465275419 -199.482955311225 875.1041034253225, 18 813.4492155660934 -174.35801754717465 661.5632846055271, 19 898.2059627672534 -255.96757795624757 305.1724071430782, 25 385.8863110601824 -201.50450293265374 837.5569636898466, 26 279.27716005016697 -175.55101290055586 568.7631540728345, 27 243.8584900653591 -232.76745062083046 216.76564060274688, 
0 576.1028442382812 0.0 496.6733166563463, 1 448.6111850861061 -41.441461101345205 493.7759632092004, 2 474.71814712766457 -61.446003386449306 132.28006244835063, 3 424.2767322343279 59.676747222030585 -253.89614142330458, 6 703.5936171499264 41.44089859827724 499.57062924155105, 7 706.6283115436486 54.7416351206483 145.01456939120465, 8 731.0396900047001 137.72092348932935 -248.97933595887775, 12 533.3574985593648 -65.07444155332979 747.752697465749, 13 508.28166516159774 -225.52749169415003 883.6970460430763, 14 427.8273373839397 -327.4155919231249 804.4114833660541, 15 419.22418793795134 -369.62657272556373 903.2397515158665, 17 651.4322581490983 -200.50880924638847 877.1587892399237, 18 813.4426560246544 -174.70039602398856 663.1993131817666, 19 897.9087885170702 -255.93518891576156 305.6866667124617, 25 384.8004554720108 -200.98568678758735 836.7311161074955, 26 276.6133250795815 -173.57950064974466 566.8331459008972, 27 243.1163415110094 -230.48453090160774 215.183564521702, 
0 576.0452270507812 0.0 494.9458002562891, 1 447.89860000715316 -39.99235476860384 492.1493090682901, 2 471.8777675786994 -57.274827605416775 131.17044100420657, 3 421.20477043657684 70.40731289775798 -249.68396838098465, 6 704.1909641137022 39.991804954464264 497.7422484623976, 7 702.7254060127088 49.66528571921597 143.13786603065, 8 728.4551804907783 131.19423402542716 -251.6947966615636, 12 532.5714620018805 -64.71624249989756 746.3036306094828, 13 506.812760953306 -225.28681563252093 882.3455770320364, 14 426.84506167632287 -327.9643099871406 803.4201425608336, 15 419.0415032811751 -369.89523085903727 902.1537357105832, 17 650.5047544633765 -201.24451797036784 876.186217706421, 18 812.5074099244955 -175.8900870734317 662.5867820800731, 19 896.4203420702229 -258.04164654793493 303.6412345998623, 25 382.933702037135 -199.67273588201613 834.9416348766512, 26 275.5726111474566 -172.63581944278457 564.658918398762, 27 243.15736137562982 -232.1778394744556 214.74342640536838, 
0 574.2616577148438 0.0 500.0081494793152, 1 446.89781906689717 -40.558881837465435 497.45075244743214, 2 478.79043694719195 -54.65180174502906 139.1477017678357, 3 429.1716667079753 75.73881961540333 -240.7288213512394, 6 701.624624051244 40.55833738935495 502.5655028288628, 7 701.9803237892232 43.3649553298299 146.27862195029041, 8 724.5314278426961 116.73322867766093 -253.69106329830458, 12 528.3896252947699 -65.21780517441172 750.3773413756461, 13 501.0687357252043 -226.02944990791894 885.5443348819798, 14 422.1362393089963 -328.7139394155599 807.7019713499191, 15 414.0428100136871 -369.77479114745825 906.0633680784539, 17 644.3772446132606 -201.36995537636102 878.9347707681223, 18 806.1557149789668 -176.4343788979334 665.9368402591532, 19 892.3545865020194 -259.3896584373438 307.9406168713821, 25 378.23333906098844 -201.1919465150902 837.8354074594955, 26 274.5415492119933 -176.08066040268784 569.2440663578642, 27 241.53552073617988 -235.66406121720667 220.4465495632378, 
0 569.331298828125 0.0 499.8645128357567, 1 447.3823163466636 -45.747610171001995 496.5352347520561, 2 493.5058909545687 -60.768606898886944 136.50721719278675, 3 439.54968744249345 56.72512157616114 -248.96730160022867, 6 691.279439919436 45.74702711535273 503.19374370359117, 7 706.3245058587488 51.69333316810234 145.33576817113862, 8 732.8527413516616 118.48326242411147 -253.69106329830458, 12 523.3852641383221 -66.0006351100014 747.4289255486011, 13 498.9334209315937 -224.50461458780643 885.9517294852432, 14 425.7647109545236 -324.5354109245699 810.218512395502, 15 417.8375868558595 -364.9828852577949 908.8340322596704, 17 637.3328009933438 -195.61369826599932 878.1343076720842, 18 794.8447072800864 -171.6399949910495 664.7994170394476, 19 869.1251426962422 -256.8396849750084 322.6491267231236, 25 379.52966160186514 -205.3880932567472 838.8637504367399, 26 275.6090829070795 -182.20894199271123 573.4923172734681, 27 239.957978072598 -235.9234317096304 230.0781165008949, 
0 568.0144653320312 0.0 500.0854629965231, 1 444.4876968516055 -46.17098405979278 496.8621287167782, 2 496.5737053040471 -61.026432753894326 136.54946799957366, 3 449.24080837416545 54.674266248652856 -250.29450485642667, 6 691.5403570142645 46.17039855879813 503.30875597469947, 7 705.9629389024067 50.123517538809736 144.4980582967347, 8 734.4085098859573 117.8332562384397 -253.69106329830458, 12 523.0789729893131 -65.74152483100482 747.8218775231193, 13 500.16758256221004 -225.0121856545876 886.1009031664379, 14 425.3325434056999 -326.2723049796141 809.4492955249451, 15 417.32495427937283 -366.85046479975483 907.9066645334682, 17 640.7061593145436 -196.00499677354986 877.6189625099036, 18 800.178203920403 -171.93819248811252 663.5364890583488, 19 869.4300498716914 -257.81087106739704 321.41286280876784, 25 377.450410064299 -204.9123900982725 840.5971800905908, 26 257.6364473129522 -178.68097665090653 574.4581429518688, 27 222.09728791425664 -234.0659763428265 230.14398908046326, 
